iter	Passed	Remaining
350	836	1546
351	837	1541
352	838	1536
353	839	1532
354	840	1527
355	842	1524
356	846	1523
357	847	1519
358	848	1514
359	849	1510
360	850	1505
361	851	1501
362	852	1496
363	853	1492
364	854	1487
365	863	1495
366	864	1491
367	877	1506
368	878	1502
369	881	1501
370	884	1498
371	885	1495
372	887	1491
373	888	1487
374	889	1482
375	902	1497
376	903	1493
377	904	1488
378	913	1497
379	915	1492
380	916	1488
381	917	1483
382	918	1479
383	919	1474
384	924	1476
385	925	1472
386	926	1468
387	928	1463
388	929	1459
389	930	1454
390	931	1450
391	932	1446
392	933	1442
393	945	1453
394	946	1449
395	947	1445
396	949	1441
397	957	1447
398	958	1443
399	959	1438
400	960	1434
401	961	1430
402	962	1426
403	963	1421
404	964	1417
405	965	1413
406	974	1419
407	975	1415
408	976	1411
409	977	1406
410	978	1402
411	985	1406
412	986	1402
413	988	1398
414	989	1394
415	990	1390
416	991	1386
417	992	1382
418	993	1378
419	1002	1384
420	1003	1380
421	1004	1376
422	1005	1371
423	1006	1367
424	1007	1363
425	1017	1370
426	1018	1366
427	1019	1362
428	1020	1358
429	1021	1354
430	1023	1350
431	1036	1363
432	1038	1359
433	1045	1363
434	1047	1360
435	1048	1356
436	1049	1352
437	1051	1348
438	1052	1344
439	1064	1354
440	1065	1350
441	1066	1346
442	1075	1352
443	1076	1348
444	1078	1344
445	1079	1340
446	1080	1336
447	1092	1346
448	1093	1342
449	1094	1338
